region_name,Current
Black Mountain Ranch,1189900
Carmel Mountain,753700
Carmel Valley,1085600
Clairemont Mesa East,607500
Clairemont Mesa West,645200
Del Cerro,744800
Del Mar Heights,1550900
La Jolla,1636800
Linda Vista,519400
Little Italy,511300
Marina,748300
Mira Mesa,585300
Miramar Ranch North,871200
Mission Bay Park,835000
Mission Beach,1253300
Mission Hills,1104700
Mission Valley East,451300
Mission Valley West,401700
Pacific Beach,874400
Palm City,455800
Point Loma Heights,790500
Scripps Ranch,797400
University City,665900
University Heights,577600
