,value,percentage
Home & Utilities,1395.29,30.52202597879871
Office Lunch,30.39,0.6647824964671809
Grocery,211.82000000000002,4.633571187945978
Food & Drinks,123.88,2.709880081025152
Bills,61.93,1.3547212901024188
Car,114.0,2.493754675790017
Shopping,49.11,1.0742832642811204
Fuel,75.73,1.6565968561191051
Gifts,16.0,0.35000065625123045
home,1139.4806126035999,24.92618513730088
vacation,172.0979893129489,3.764650574940585
wedding,277.5664146868177,6.071776705855461
retirement,654.7979833966338,14.323732743800258
Guilt Free,249.327,5.454038351321909
