,value,percentage,model_value
Home & Utilities,1613.72,29.177711159246822,1565.0
Office Lunch,23.189999999999998,0.4192989625108035,200.0
Grocery,125.74999999999999,2.273688854494762,250.0
Food & Drinks,242.04999999999998,4.376512025689521,230.0
Bills,118.85,2.1489297841487276,150.0
Car,105.99,1.9164078066632195,143.0
Shopping,356.71,6.4496823163962365,100.0
Fuel,78.25999999999999,1.4150209920696626,130.0
Gifts,157.4,2.845953285864617,50.0
home,1237.9552613972312,22.383499643753755,1550.6938011994614
vacation,186.97080844495667,3.3806238033970035,234.20432280695562
wedding,301.5538831008156,5.452403205057184,377.7339552030985
retirement,711.3860470569964,12.862588679416138,891.1
Guilt Free,270.87399999999997,4.897679481291564,0.0
