,value,percentage
Home & Utilities,1242.5,16.89712945989023
Office Lunch,184.00000000000003,2.502271082993805
Grocery,107.00999999999999,1.4552610249519946
Food & Drinks,224.59000000000006,3.0542666441824933
Bills,107.18,1.457572905843891
Car,133.0,1.8087068154248696
Shopping,0.0,0.0
Fuel,125.85,1.7114718249715777
Gifts,35.9,0.48821484717107383
home,2373.450637367051,32.277265743460795
vacation,358.46689966150643,4.874898680616464
wedding,578.1495328339503,7.862428574221581
retirement,1363.8939301374915,18.548001856814224
Guilt Free,519.329,7.062510539457008
