,value,percentage
Home & Utilities,1349.09,29.413791073542654
Office Lunch,44.82,0.9771965665123763
Grocery,239.14000000000001,5.21389529040093
Food & Drinks,132.44,2.8875482657050227
Bills,128.99,2.8123289851501876
Car,128.0,2.7907443220344526
Shopping,133.62,2.913275439923778
Fuel,88.0,1.9186367213986861
Gifts,16.35,0.35647398175986955
home,1063.0984338646588,23.178405609933712
vacation,160.56183921533687,3.500680008793829
wedding,258.9604574954153,5.646034581146676
retirement,610.9052694245893,13.319378218340624
Guilt Free,232.61400000000003,5.071610935357205
