,value,percentage
Home & Utilities,1301.83,28.296715239618834
Office Lunch,119.77000000000001,2.6033334492592335
Grocery,302.75000000000006,6.580606176531962
Food & Drinks,91.19,1.982115531752104
Bills,281.82,6.12566947207345
Car,103.0,2.238818946929123
Shopping,0.0,0.0
Fuel,120.83,2.6263737219169503
Gifts,0.0,0.0
home,1041.760051017048,22.64380718806618
vacation,157.33906144918174,3.419938561791006
wedding,253.76263459547766,5.51581159567968
retirement,598.6432529382926,13.012173370189638
Guilt Free,227.94500000000005,4.954636746191834
