,value,percentage
Home & Utilities,1355.8999999999999,29.660368113190213
Office Lunch,0.0,0.0
Grocery,363.6,7.953764913309213
Food & Drinks,7.81,0.17084407033263188
Bills,123.0,2.6906300449313343
Car,128.0,2.8000052500098436
Shopping,106.69999999999999,2.3340668763753927
Fuel,78.06,1.7075657016856907
Gifts,0.0,0.0
home,1100.6702576792243,24.077207031496215
vacation,166.23638537416343,3.6364277483618532
wedding,268.11258901402476,5.86497388150782
retirement,632.4957679325877,13.835870865783228
Guilt Free,240.83500000000004,5.268275503016569
