,value,percentage,model_value
Home & Utilities,1490.0,31.078118710070353,1565.0
Office Lunch,23.16,0.4830665968625701,200.0
Grocery,220.34000000000003,4.595807165487854,250.0
Food & Drinks,279.46999999999997,5.82912874892843,230.0
Bills,88.55,1.8469579944810268,150.0
Car,109.25,2.2787144087752926,143.0
Shopping,226.5,4.724291199886534,100.0
Fuel,102.69,2.141887255259815,130.0
Gifts,62.589999999999996,1.3054895638008748,50.0
home,1001.7111649828624,20.89348892519481,1550.6938011994614
vacation,151.29039973043734,3.155584565447334,234.20432280695562
wedding,244.00711476850108,5.089451059649153,377.7339552030985
retirement,575.6293205181987,12.00635997051122,891.1
Guilt Free,219.182,4.5716538356447245,0.0
