,value,percentage
Home & Utilities,1531.37,33.12767839952581
Office Lunch,20.36,0.4404419129370077
Grocery,74.51,1.6118529927768392
Food & Drinks,165.23,3.574372164763349
Bills,176.51,3.818389098846328
Car,103.0,2.2281688129917385
Shopping,83.42999999999999,1.804816738523308
Fuel,90.17,1.9506211831792724
Gifts,2.3,0.049755225921174734
home,1085.7713225575258,23.4881728054706
vacation,163.9861700137724,3.5474647552101817
wedding,264.48335306332933,5.721490862632946
retirement,623.9341543653726,13.497384700167926
Guilt Free,237.57500000000002,5.139390347053517
